,gameId,gameDuraton,blueWins,blueWardPlaced,blueKills,blueDeath,redWardPlaced,blueTotalGoldDiff,blueTotalMinionKillDiff,FirstTowerDiff,HeraldDiff,FirstDragonDiff,blueJungleMinionDiff,TotalAssistDiff,AvgLevelDiff
8532,4116841331,1611,0,99,19,44,85,-15700,-46,-1,-1,1,-79,-49,-1.4000000000000004
8533,4116825371,1953,1,88,28,21,80,9802,-71,-1,1,-1,98,19,1.799999999999999
8534,4114950668,1158,0,32,7,19,41,-11142,-76,-1,0,1,-89,-20,-1.8000000000000007
8535,4114859869,1579,0,48,22,39,64,-10496,12,-1,-1,-1,-56,-38,-1.4000000000000004
8536,4114926986,1468,1,55,34,18,32,13345,-2,1,1,-1,32,48,1.799999999999999
8537,4114925991,1498,0,57,20,31,51,-7389,-11,1,-1,-1,-37,-30,-2.0
8538,4114876045,1676,1,70,34,26,60,8698,41,1,1,-1,30,23,1.4000000000000004
8539,4114884030,1197,1,32,30,13,31,12092,34,1,0,1,42,33,1.5999999999999996
8540,4114853336,1409,1,53,29,14,40,11293,-32,1,1,-1,43,17,0.7999999999999989
8541,4114829104,1670,1,57,30,21,75,9278,59,1,-1,1,70,9,1.1999999999999993
8542,4114826010,1962,0,79,24,32,77,-11609,1,1,-1,-1,-70,-20,-1.3999999999999986
8543,4114832714,1610,1,69,37,16,56,8978,-78,1,0,-1,20,47,1.0
8544,4102694869,2169,1,115,21,14,102,5685,-34,1,1,1,18,26,0.5999999999999996
8545,4102509656,1997,0,100,34,22,90,-5063,-174,-1,1,-1,-94,30,-0.6000000000000014
8546,4102369975,1758,0,68,16,24,82,-4093,-2,-1,-1,-1,28,-23,-0.7999999999999989
8547,4102259505,1287,1,39,17,6,49,6097,-10,-1,0,1,26,13,0.40000000000000036
8548,4101135870,1108,0,39,10,19,41,-6222,-27,-1,0,-1,18,-12,-0.6000000000000014
8549,4101102351,1501,0,75,10,14,94,-7853,-41,-1,-1,-1,-41,-18,-1.200000000000001
8550,4099292369,1699,1,68,33,17,94,12932,-26,1,1,-1,56,22,1.4000000000000004
8551,4099278009,1788,1,95,26,14,94,5502,-97,-1,1,-1,15,25,1.0
8552,4099228992,912,0,18,5,13,17,-9023,-82,-1,0,-1,-44,-19,-1.1999999999999993
8553,4099274974,1053,1,36,13,14,32,615,-25,-1,0,-1,-5,-5,0.0
8554,4099223842,1722,1,84,37,12,67,12680,-67,1,1,1,-10,69,1.6000000000000014
8555,4099230398,1115,0,46,4,13,39,-10713,-124,-1,0,-1,-56,-11,-1.4000000000000004
8556,4099195970,1221,0,36,15,25,42,-9647,-57,-1,0,1,-57,-19,-1.0
